movie,top_ten_rank
A Madea Homecoming,1
After We Fell,1
Ali Wong: Don Wong,0
Alpha and Omega ,0
American Boogeywoman,1
Anaconda ,0
Annabelle: Creation,1
Anne+,0
Arthur Christmas ,0
Batman Begins ,0
Bigbug,0
Blackhat,1
Blood Diamond ,0
Brazen,1
Caddyshack ,0
Caddyshack 2 ,0
Can You Keep a Secret?,1
Charlie and the Chocolate Factory,1
Cleaner ,0
Close Enemies,0
Countdown ,1
Despicable Me ,1
Despicable Me 2 ,1
Django & Django ,0
Donnie Brasco ,0
Don't Look Up,1
Downfall: The Case Against Boeing,1
Erax,0
Expedition Happiness ,0
Fistful of Vengeance,1
Forgive Us Our Trespasses,0
Green Lantern ,0
Heart Shot,0
Home Team,1
Honey Girls,0
Into the Wind,0
Journey 2: The Mysterious Island,1
Last Man Down,1
Legend of the Guardians: The Owls of Ga’Hoole ,0
Little Women ,0
Love and Leashes,0
Love Tactics,0
Me Against You: Mr. S’s Vendetta ,0
Mo Gilligan: There’s Mo to Life,0
Munich: The Edge of War,1
My Best Friend Anne Frank ,0
My Father's Violin,1
New Year’s Eve ,0
New York Prison Break: The Seduction of Joyce Mitchell ,0
Patsy & Loretta ,0
Rabbids Invasion Special: Mission to Mars,0
Restless,1
Riverdance: The Animated Adventure,1
Scooby-Doo ,0
St. Vincent,1
Stepmom ,0
Tall Girl 2,1
That’s My Boy ,1
The Addams Family ,0
The Book of Eli ,0
The Bourne Ultimatum ,0
The Contractor ,0
The Dark Knight ,0
The Devil’s Advocate ,0
The Exorcist ,0
The Foreigner ,0
The God Committee,1
The Hangover ,1
The Kindness of Strangers,0
The Last Samurai ,0
The Lucky One ,1
The Negotiator ,0
The New Guy ,0
The One ,0
The Other Boleyn Girl ,0
The Other Guys ,1
The Privilege,0
The Royal Treatment,1
The Texas Chainsaw Massacre ,1
The Texas Chainsaw Massacre: The Beginning ,0
The Tinder Swindler,1
The Tinder Swindler,1
Through My Window,1
Time ,0
Transformers: Dark of the Moon ,1
Transformers: Revenge of the Fallen ,1
Under Suspicion,1
Warrior ,1
Watchmen ,0
